bus_route_name,bus_name,bus_type,departure_time,duration,reaching_time,star_rating,price,seat_availability
Goa to Sangli,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,2024-07-18 19:00:00,09h 00m,2024-07-18 04:00:00,3.8,490,"7 Seats available
3 Window"
Goa to Sangli,Humsafar Travels,A/C Sleeper (2+1),2024-07-18 19:00:00,06h 30m,2024-07-18 01:30:00,4.0,1035,"17 Seats available
5 Single"
Goa to Sangli,Vaibhav Travels,A/C Sleeper (2+1),2024-07-18 20:00:00,09h 40m,2024-07-18 05:40:00,3.5,475,"26 Seats available
2 Single"
Calangute (goa) to Mopa Airport,Oops! No buses found.,,,,,,,
Mopa Airport to Calangute (goa),Kadamba Transport Corporation Limited (KTCL) - 160437,A/C Seater (2+3),2024-07-18 17:30:00,01h 10m,2024-07-18 18:40:00,4.3,200,"47 Seats available
20 Window"
Ponda to Belagavi,Oops! No buses found.,,,,,,,
Goa to Miraj,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,2024-07-18 19:00:00,09h 30m,2024-07-18 04:30:00,2.6,505,"7 Seats available
3 Window"
Goa to Miraj,Vaibhav Travels,A/C Sleeper (2+1),2024-07-18 20:00:00,09h 42m,2024-07-18 05:42:00,3.6,475,"26 Seats available
2 Single"
Goa to Miraj,Humsafar Travels,A/C Sleeper (2+1),2024-07-18 19:00:00,06h 30m,2024-07-18 01:30:00,4.0,1035,"17 Seats available
5 Single"
Goa to Miraj,Sharma Travels,AC Sleeper (2+1),2024-07-18 15:10:00,07h 50m,2024-07-18 23:00:00,3.8,1200,"16 Seats available
3 Single"
Goa Airport to Calangute (goa),Kadamba Transport Corporation Limited (KTCL) - 99710,AC Seater (2+2),2024-07-18 16:00:00,01h 30m,2024-07-18 17:30:00,4.5,200,"42 Seats available
20 Window"
Marcel to Belagavi,Oops! No buses found.,,,,,,,
Shivamogga to Goa,Sea Bird Tourist,NON A/C Sleeper (2+1),2024-07-18 23:45:00,08h 15m,2024-07-18 08:00:00,4.6,700,29 Seats available
Goa to Mopa Airport,Kadamba Transport Corporation Limited (KTCL) - 158967,A/C Seater (2+3),2024-07-18 15:55:00,01h 05m,2024-07-18 17:00:00,3.6,200,"46 Seats available
20 Window"
Goa to Satara,Atmaram Gobus,VE A/C Sleeper (2+1),2024-07-18 22:30:00,07h 40m,2024-07-18 06:10:00,4.8,599,"23 Seats available
7 Single"
Goa to Satara,IntrCity SmartBus,AC Sleeper (2+1),2024-07-18 20:00:00,09h 25m,2024-07-18 05:25:00,4.7,500,"20 Seats available
7 Single"
Goa to Satara,Ashray Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),2024-07-18 21:00:00,09h 30m,2024-07-18 06:30:00,4.4,600,20 Seats available
Goa to Satara,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),2024-07-18 22:00:00,09h 30m,2024-07-18 07:30:00,4.2,740,1 Seat available
Goa to Satara,Ashray Travels,Bharat Benz A/C Sleeper (2+1),2024-07-18 22:30:00,09h 30m,2024-07-18 08:00:00,4.4,513,24 Seats available
